ejecucion,generacion,mejor,promedio,peor
2,29,-0.002595,-0.032584,-0.236707
2,30,-0.002575,-0.028403,-0.207460
2,31,-0.002512,-0.030407,-0.128663
2,32,-0.002512,-0.044078,-0.323653
2,33,-0.002512,-0.033404,-0.137785
2,34,-0.002512,-0.035373,-0.185911
2,35,-0.002512,-0.036171,-0.228238
2,36,-0.002512,-0.034532,-0.166807
2,37,-0.002512,-0.028575,-0.122986
2,38,-0.002512,-0.028070,-0.136062
2,39,-0.002419,-0.041453,-0.198479
2,40,-0.002337,-0.036524,-0.137980
2,41,-0.002337,-0.042020,-0.201049
2,42,-0.002337,-0.037030,-0.174475
2,43,-0.002315,-0.037743,-0.225936
2,44,-0.002315,-0.035401,-0.207623
2,45,-0.002315,-0.033160,-0.121177
2,46,-0.002315,-0.039542,-0.152472
2,47,-0.002315,-0.039795,-0.218602
2,48,-0.002315,-0.037923,-0.145426
2,49,-0.002232,-0.028201,-0.146270
2,50,-0.002232,-0.045824,-0.373420
2,51,-0.002232,-0.051735,-0.177360
2,52,-0.002232,-0.056076,-0.284461
2,53,-0.002232,-0.050341,-0.290423
2,54,-0.002232,-0.023803,-0.096280
2,55,-0.002232,-0.032107,-0.134781
2,56,-0.002232,-0.034269,-0.147016
2,57,-0.002232,-0.031384,-0.182760
2,58,-0.002232,-0.043727,-0.430127
2,59,-0.002194,-0.043870,-0.246520
2,60,-0.002194,-0.034160,-0.210023
2,61,-0.002194,-0.033975,-0.140941
2,62,-0.002194,-0.028586,-0.144332
2,63,-0.002194,-0.034945,-0.179516
2,64,-0.002194,-0.037391,-0.223360
2,65,-0.002194,-0.037154,-0.229895
2,66,-0.002187,-0.025813,-0.151003
2,67,-0.002187,-0.033003,-0.225533
2,68,-0.002187,-0.036729,-0.172041
2,69,-0.002187,-0.025843,-0.152319
2,70,-0.002187,-0.031336,-0.125231
2,71,-0.002187,-0.032056,-0.198323
2,72,-0.002179,-0.033664,-0.096112
2,73,-0.002122,-0.044466,-0.240061
2,74,-0.002113,-0.052348,-0.310890
2,75,-0.002113,-0.047288,-0.219581
2,76,-0.002113,-0.047113,-0.203144
2,77,-0.002113,-0.048551,-0.236861
2,78,-0.002031,-0.046129,-0.267113
2,79,-0.002031,-0.042460,-0.245350
2,80,-0.002031,-0.041947,-0.204812
2,81,-0.002031,-0.045317,-0.193024
2,82,-0.002031,-0.080585,-1.807776
2,83,-0.002031,-0.043056,-0.225591
2,84,-0.002031,-0.043253,-0.189975
2,85,-0.001980,-0.038911,-0.170332
2,86,-0.001980,-0.038220,-0.151817
2,87,-0.001980,-0.042919,-0.180662
2,88,-0.001877,-0.042980,-0.205867
2,89,-0.001877,-0.087841,-0.495745
2,90,-0.001877,-0.073495,-0.492701
